Id;Designator;Footprint;Quantity;Designation;Manufacturer;Ref
1;C1,C39,C38,C16,C51,C55,C14,C41,C17,C52,C24,C53,C57,C6,C22,C37,C15;0603_C;17;100n;;
2;C25,C11,C54,C23,C35,C42,C2,C56,C8,C13,C19,C21,C9,C36,C7,C40,C34,C10,C20;0603_C;19;10u;;
3;J2;FH19C-4S-0.5SH(10);1;4_Pin_Zif;Hirose;FH19C-4S-0.5SH(10)
4;Q2;TSOT-23;1;NPN;onsemi;NSS40201LT1G
5;R9,R14;0603_R;2;36K;;
6;D13,D12,D9,D11,D10,D14;LTST_Diode;6;LED;LITE-ON;S270GTK
7;C44,C47,C43,C50,C46,C45,C49,C48;0402_C;8;100n;;
8;C58;0603_C;1;47u;;
9;R5;0603_R;1;91K;;
10;R1;0603_R;1;200K;;
11;L2,L1;XGL4018_Inductor;2;4.7uH;Coilcraft;XGL4018
12;R13;0805_R;1;0;;
13;Q1;TSOT-23;1;PMOS;Vishay;SQ2303CES-T1_BE3
14;R17,R16;0603_R;2;1.2K;;
15;U4,U8,U9;AP22652-DFN;3;AP22653;Diodes Inc;AP22653FDZ-7
16;R7;0603_R;1;20K;;
17;U6;TMUXHS4446;1;TMUXHS4446;Texas Instruments;TMUXHS4446RETR
18;R2;0603_R;1;40K2;;
19;U7;INA234;1;INA234AxYBJ;Texas Instruments;INA234AIYBJR
20;D7,D3,D15,D2,D5,D4;ESD7L5;6;ESD7L5;onsemi;ESD7L5.0DT5G
21;R12,R23;0603_R;2;47K;;
22;C32,C31,C28,C26,C27,C30,C29,C33;0402_C;8;220n;;
23;C4,C3;0603_C;2;22uF;;
24;R11,R22,R18,R19;0603_R;4;270;;
25;R6,R4;0603_R;2;30K;;
26;R25,R26;0603_R;2;4K7;;
27;D8,D6;ESD7004;2;ESD7004;onsemi;ESD7004MUTAG
28;J1;FH19SC-30S-0.5SH(09);1;30_Pin_Zif;hirose;FH19SC-30S-0.5SH(09)
29;U1;LQFP-48_7x7mm_P0.5mm;1;STM32G0B1CETx;ST Micro;STM32G0B1CET6
30;R10;0603_R;1;12K 1%;;
31;R21;0603_R;1;2K;;
32;D1;SS3020HE;1;SS3020HE;Panjit international;SS3020HE_R1_00001
33;Y1;FA-128_OSC;1;24MHz;EPSON;FA-128 24.0000MF10Z-W0
34;C12,C18;0603_C;2;18pF;;
35;R8;0603_R;1;180K;;
36;C5;0603_C;1;33pF;;
37;U2;MCP1665;1;MCP1665;Microchip;MCP1665T-E/MRA
38;U5;USB2514v2;1;USB2514B;Microchip;USB2514B/M2
39;U3;AP63357;1;AP63357;Diodes Inc;AP63357DV-7
40;R20;0603_R;1;620;;
41;R15;0603_R;1;10K;;
42;R3;0612_R_v2;1;16m 1%;YAGEO;PE0612FKF070R016L
43;R24;0603_R;1;27K;;
44;J3;USBA32_692121230100v2_1.6mmOut;1;USB3_A;Wurth Elektronik;692121230100
45;J7;2129691-2_2.8mmOut;1;2129691-2;TE Connectivity;2129691-2
46;J5,J4;USB1015v2_1.6mmOut;2;USB_A;GCT;USB1015-GF-L-A
47;M4,M2,M3,M1;MS04-M2-2;4;Standoff;PEM;MSO4-M2-2
